slot,name,canonical,sprite_required,portrait_required,sprite_entirely_absent,sprite_incomplete_upstream,missing_required_portraits,missing_reverse_portraits,coordination_required,production_state
0000,Missingno_,False,True,True,False,False,,,False,no_core_gap_detected
0000/0000,Missingno_,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0000/0001,Missingno_ / Shiny,False,False,True,False,False,,,False,no_core_gap_detected
0000/0001,Missingno_ / Substitute,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0001/0001,Missingno_ / Substitute / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0002,Missingno_ / Kotora,False,True,True,True,False,,,False,to_produce
0000/0002/0001,Missingno_ / Kotora / Shiny,False,True,True,True,False,,,False,to_produce
0000/0003,Missingno_ / Animon,False,True,True,True,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0003/0001,Missingno_ / Animon / Shiny,False,True,True,True,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0004,Missingno_ / Egg,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0004/0001,Missingno_ / Egg / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0005,Missingno_ / Substitute_Altcolor,False,True,False,False,True,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0005/0001,Missingno_ / Substitute_Altcolor / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0006,Missingno_ / Madaamu,False,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0006/0001,Missingno_ / Madaamu / Shiny,False,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0007,Missingno_ / Mikon,False,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0007/0001,Missingno_ / Mikon / Shiny,False,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0008,Missingno_ / Ubausagi,False,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0008/0001,Missingno_ / Ubausagi / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0009,Missingno_ / Hakogame,False,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0009/0001,Missingno_ / Hakogame / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0010,Missingno_ / Warabbit,False,True,True,True,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
